dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,popData2018
2/12/2020,2,12,2020,3972,121,Austria,AT,AUT,8858775,Europe,8858775
1/12/2020,1,12,2020,3033,141,Austria,AT,AUT,8858775,Europe,8858775
30/11/2020,30,11,2020,2748,79,Austria,AT,AUT,8858775,Europe,8858775
29/11/2020,29,11,2020,4047,87,Austria,AT,AUT,8858775,Europe,8858775
28/11/2020,28,11,2020,4669,132,Austria,AT,AUT,8858775,Europe,8858775
27/11/2020,27,11,2020,4954,113,Austria,AT,AUT,8858775,Europe,8858775
26/11/2020,26,11,2020,5526,106,Austria,AT,AUT,8858775,Europe,8858775
25/11/2020,25,11,2020,5802,90,Austria,AT,AUT,8858775,Europe,8858775
24/11/2020,24,11,2020,4377,118,Austria,AT,AUT,8858775,Europe,8858775
23/11/2020,23,11,2020,3145,71,Austria,AT,AUT,8858775,Europe,8858775
22/11/2020,22,11,2020,5226,60,Austria,AT,AUT,8858775,Europe,8858775
21/11/2020,21,11,2020,6611,104,Austria,AT,AUT,8858775,Europe,8858775
20/11/2020,20,11,2020,6668,108,Austria,AT,AUT,8858775,Europe,8858775
19/11/2020,19,11,2020,6995,62,Austria,AT,AUT,8858775,Europe,8858775
18/11/2020,18,11,2020,7091,109,Austria,AT,AUT,8858775,Europe,8858775
17/11/2020,17,11,2020,5984,58,Austria,AT,AUT,8858775,Europe,8858775
16/11/2020,16,11,2020,4657,58,Austria,AT,AUT,8858775,Europe,8858775
15/11/2020,15,11,2020,5665,83,Austria,AT,AUT,8858775,Europe,8858775
14/11/2020,14,11,2020,7063,85,Austria,AT,AUT,8858775,Europe,8858775
13/11/2020,13,11,2020,9586,53,Austria,AT,AUT,8858775,Europe,8858775
12/11/2020,12,11,2020,9262,44,Austria,AT,AUT,8858775,Europe,8858775
11/11/2020,11,11,2020,7514,65,Austria,AT,AUT,8858775,Europe,8858775
10/11/2020,10,11,2020,6120,45,Austria,AT,AUT,8858775,Europe,8858775
9/11/2020,9,11,2020,5593,43,Austria,AT,AUT,8858775,Europe,8858775
8/11/2020,8,11,2020,5933,34,Austria,AT,AUT,8858775,Europe,8858775
7/11/2020,7,11,2020,8241,37,Austria,AT,AUT,8858775,Europe,8858775
6/11/2020,6,11,2020,6464,72,Austria,AT,AUT,8858775,Europe,8858775
5/11/2020,5,11,2020,7416,41,Austria,AT,AUT,8858775,Europe,8858775
4/11/2020,4,11,2020,6901,35,Austria,AT,AUT,8858775,Europe,8858775
3/11/2020,3,11,2020,4182,33,Austria,AT,AUT,8858775,Europe,8858775
2/11/2020,2,11,2020,4135,29,Austria,AT,AUT,8858775,Europe,8858775
1/11/2020,1,11,2020,4956,21,Austria,AT,AUT,8858775,Europe,8858775
31/10/2020,31,10,2020,5349,27,Austria,AT,AUT,8858775,Europe,8858775
30/10/2020,30,10,2020,5627,26,Austria,AT,AUT,8858775,Europe,8858775
29/10/2020,29,10,2020,4453,29,Austria,AT,AUT,8858775,Europe,8858775
