mask wearing,public events,border closure,schools + universities,self-isolation if ill,lockdown,social distancing encouraged
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0.00378216027437,0,0.000891703774431,0
0,0,0,0.00378216027437,0,0.000891703774431,0
0,0,0,0.00378216027437,0,0.000891703774431,0
0,0,0,0.00378216027437,0,0.000891703774431,0
0,0,0,0.0310246099963,0,0.000891703774431,0
0,0,0,0.0343169590535,0,0.000891703774431,0
0,0,0,0.0343169590535,0,0.000891703774431,0
0,0,0,0.0381584557193,0,0.000891703774431,0
0,0,0,0.0076236569401,0,0.000891703774431,0
0,0,0,0.0076236569401,0,0.000891703774431,0
0,0,0,0.0076236569401,0,0.000891703774431,0
0,0,0,0.00378216027437,0,0.000891703774431,0
0,0,0,1,0,0.000891703774431,0
0,0,0,1,0,0.000891703774431,0
0,0,0,1,0,0.000891703774431,0
0,0,0,1,0,0.273892753758,0
0,1,0,1,1,0.273892753758,1
0,1,1,1,1,0.273892753758,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0.166794678976,1,1,1,1,1,1
0.166794678976,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,1,1,1,1,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
0.228628553792,1,0,1,1,0,1
